Composition,Eg,avg_Atomic number,avg_Atomic weight,avg_Period number,avg_Group number,avg_Family number,avg_L quantum number,avg_Mendeleev number,avg_Atomic radius (Å),avg_Covalent radius (Å),avg_Zunger radius (Å),avg_Ionic radius (Å),avg_Crystal radius (Å),avg_Pauling EN,avg_Martynov-Batsanov EN,avg_Gordy EN,avg_Mulliken EN,avg_Allen EN,avg_Metallic valence,avg_Number of valence electrons,avg_Number of s electrons,avg_Number of p electrons,avg_Number of d electrons,avg_Number of outer shell electrons,avg_First ionization energy (kJ/mol),avg_Polarizability,avg_Melting point (K),avg_Boiling point (K),avg_Density (g/mL),avg_Specific heat (J/g•K),avg_Heat of fusion (kJ/mol),avg_Heat of vaporization (kJ/mol),avg_Thermal conductivity (W/m•K),avg_Heat atomization (kJ/mol),avg_Cohesive energy (eV),diff_Atomic number,diff_Atomic weight,diff_Period number,diff_Group number,diff_Family number,diff_L quantum number,diff_Mendeleev number,diff_Atomic radius (Å),diff_Covalent radius (Å),diff_Zunger radius (Å),diff_Ionic radius (Å),diff_Crystal radius (Å),diff_Pauling EN,diff_Martynov-Batsanov EN,diff_Gordy EN,diff_Mulliken EN,diff_Allen EN,diff_Metallic valence,diff_Number of valence electrons,diff_Number of s electrons,diff_Number of p electrons,diff_Number of d electrons,diff_Number of outer shell electrons,diff_First ionization energy (kJ/mol),diff_Polarizability,diff_Melting point (K),diff_Boiling point (K),diff_Density (g/mL),diff_Specific heat (J/g•K),diff_Heat of fusion (kJ/mol),diff_Heat of vaporization (kJ/mol),diff_Thermal conductivity (W/m•K),diff_Heat atomization (kJ/mol),diff_Cohesive energy (eV),max_Atomic number,max_Atomic weight,max_Period number,max_Group number,max_Family number,max_L quantum number,max_Mendeleev number,max_Atomic radius (Å),max_Covalent radius (Å),max_Zunger radius (Å),max_Ionic radius (Å),max_Crystal radius (Å),max_Pauling EN,max_Martynov-Batsanov EN,max_Gordy EN,max_Mulliken EN,max_Allen EN,max_Metallic valence,max_Number of valence electrons,max_Number of s electrons,max_Number of p electrons,max_Number of d electrons,max_Number of outer shell electrons,max_First ionization energy (kJ/mol),max_Polarizability,max_Melting point (K),max_Boiling point (K),max_Density (g/mL),max_Specific heat (J/g•K),max_Heat of fusion (kJ/mol),max_Heat of vaporization (kJ/mol),max_Thermal conductivity (W/m•K),max_Heat atomization (kJ/mol),max_Cohesive energy (eV),min_Atomic number,min_Atomic weight,min_Period number,min_Group number,min_Family number,min_L quantum number,min_Mendeleev number,min_Atomic radius (Å),min_Covalent radius (Å),min_Zunger radius (Å),min_Ionic radius (Å),min_Crystal radius (Å),min_Pauling EN,min_Martynov-Batsanov EN,min_Gordy EN,min_Mulliken EN,min_Allen EN,min_Metallic valence,min_Number of valence electrons,min_Number of s electrons,min_Number of p electrons,min_Number of d electrons,min_Number of outer shell electrons,min_First ionization energy (kJ/mol),min_Polarizability,min_Melting point (K),min_Boiling point (K),min_Density (g/mL),min_Specific heat (J/g•K),min_Heat of fusion (kJ/mol),min_Heat of vaporization (kJ/mol),min_Thermal conductivity (W/m•K),min_Heat atomization (kJ/mol),min_Cohesive energy (eV)
InSb,0.22,50.0,118.289,5.0,14.0,5.5,1.0,80.0,1.5,1.42,1.9075,1.5,0.9199999999999999,1.915,1.885,4.6145,3.975,1.82,3.22,4.0,2.0,2.0,10.0,2.0,696.0,8.149999999999999,666.95,2288.15,7.0,0.22,11.5665,154.32,52.95,252.5,2.635,2,6.942000000000007,0,2,1,0,10,0.1000000000000001,0.04000000000000004,0.2849999999999999,0.1000000000000001,0.03999999999999992,0.2699999999999998,0.5100000000000002,0.7616000000000005,1.75,0.3280000000000001,0.4399999999999999,2,0,2,0,0,276,3.1,474.4,130.0,0.6199999999999992,0.02000000000000002,16.607,154.36,57.3,19,0.23,51,121.76,5,15,6,1,85,1.55,1.44,2.05,1.55,0.94,2.05,2.14,4.9953,4.85,1.984,3.44,5,2,3,10,2,834,9.7,904.15,2353.15,7.31,0.23,19.87,231.5,81.6,262,2.75,49,114.818,5,13,5,1,75,1.45,1.4,1.765,1.45,0.9,1.78,1.63,4.2337,3.1,1.656,3.0,3,2,1,10,2,558,6.6,429.75,2223.15,6.69,0.21,3.263,77.14,24.3,243,2.52
Sr2Be2B2O7,8.0,11.53846153846154,25.14478153846154,2.461538461538462,11.23076923076923,5.307692307692307,0.6923076923076923,69.46153846153847,0.923076923076923,0.9515384615384614,1.032692307692308,0.923076923076923,0.9561538461538461,2.553846153846154,2.476923076923077,6.314484615384615,5.781538461538462,2.65,1.076923076923077,4.307692307692308,2.0,2.307692307692307,0.0,4.307692307692308,1053.538461538461,5.996230769230769,790.3192307692308,1236.765384615385,1.036154615384615,0.9784615384615385,10.99677923076923,144.3130230769231,40.36824461538462,297.3076923076923,3.08,34,78.60782,3,14,5,1,79,1.4,1.18,2.745,1.4,1.07,2.49,2.19,5.0115,5.54,2.647,3.0,4,0,4,0,4,765,26.807,2297.4,3153.0,2.53857,1.52,49.97741000000001,486.2901,199.97326,409,4.09,38,87.62,5,16,7,1,87,2.0,1.91,3.21,2.0,1.32,3.44,3.32,8.3703,7.54,3.61,3.0,6,2,4,0,6,1314,27.6,2352.15,3243.15,2.54,1.82,50.2,489.7,200.0,573,5.81,4,9.01218,2,2,2,0,8,0.6,0.73,0.465,0.6,0.25,0.95,1.13,3.3588,2.0,0.963,0.0,2,2,0,0,2,549,0.793,54.74999999999997,90.14999999999998,0.00143,0.3,0.22259,3.4099,0.02674,164,1.72
K2CuNbS4,2.82,21.5,45.3641225,3.625,10.25,4.75,1.0,58.625,1.4,1.33125,2.0725,1.4,0.78125,1.9325,1.91375,4.5157,4.775,1.8855,2.555,5.25,1.5,2.0,1.75,3.5,779.375,15.1,789.2375000000001,1599.125,3.44125,0.6224999999999999,6.373499999999999,147.655,82.572,295.0,3.041,25,60.84038,2,15,6,2,85,1.2,1.01,2.59,1.2,1.09,1.76,1.85,3.0576,3.8,1.855,4.44,10,1,4,10,5,581,40.5,2404.75,4297.299999999999,8.100000000000001,0.49,24.6825,672.2,400.731,636,6.636,41,92.90638,5,16,7,2,88,2.2,2.03,3.69,2.2,1.52,2.58,2.65,5.8458,6.22,2.589,5.44,11,2,4,10,6,1000,43.4,2741.15,5015.15,8.96,0.75,26.4,682.0,401.0,726,7.57,16,32.066,3,1,1,0,3,1.0,1.02,1.1,1.0,0.43,0.82,0.8,2.7882,2.42,0.734,1.0,1,1,0,0,1,419,2.9,336.4,717.8499999999999,0.86,0.26,1.7175,9.8,0.269,90,0.934
PrTe2,1.02,54.33333333333333,132.0358833333333,5.333333333333333,11.66666666666667,5.0,1.666666666666667,65.66666666666667,1.55,1.456666666666667,2.606666666666666,1.55,1.18,1.776666666666666,1.953333333333333,5.174366666666666,4.693333333333333,1.802,2.366666666666666,5.0,2.0,2.666666666666667,6.666666666666666,2.0,754.9999999999999,13.06666666666666,883.15,1938.683333333333,6.416666666666666,0.1966666666666667,13.95666666666667,133.9666666666667,5.733333333333333,250.0,2.693333333333333,7,13.30765,1,13,3,2,73,0.4500000000000002,0.2899999999999998,2.81,0.4500000000000002,0.21,0.9700000000000002,1.28,0.8022999999999998,2.39,1.068,1.1,3,0,4,10,0,342,22.7,481.5000000000001,2027.2,0.5299999999999994,0.01000000000000001,10.6,244.25,10.15,159,1.51,59,140.90765,6,16,6,3,90,1.85,1.65,4.48,1.85,1.32,2.1,2.38,5.4418,5.49,2.158,3.1,6,2,4,10,2,869,28.2,1204.15,3290.15,6.77,0.2,17.49,296.8,12.5,356,3.7,52,127.6,5,3,3,1,17,1.4,1.36,1.67,1.4,1.11,1.13,1.1,4.6395,3.1,1.09,2.0,3,2,0,0,2,527,5.5,722.65,1262.95,6.24,0.19,6.89,52.55,2.35,197,2.19
BAs,1.46,19.0,42.86629499999999,3.0,14.0,6.0,1.0,78.0,1.0,1.01,1.105,1.0,0.485,2.11,2.085,4.88355,4.795,2.131,3.0,4.0,2.0,2.0,0.0,4.0,874.0,3.65,1721.15,1856.65,4.035,0.675,38.95,262.23,38.5,437.5,4.385,28,64.11059,2,2,0,0,12,0.2999999999999999,0.38,0.62,0.2999999999999999,0.47,0.1400000000000001,0.3700000000000001,0.5768999999999993,1.01,0.1599999999999997,0.0,2,0,2,0,2,146,1.3,1262.0,1933.0,3.390000000000001,0.69,22.5,454.94,23.0,271,2.85,33,74.92159,4,15,6,1,84,1.15,1.2,1.415,1.15,0.72,2.18,2.27,5.172,5.3,2.211,3.0,5,2,3,0,5,947,4.3,2352.15,2823.15,5.73,1.02,50.2,489.7,50.0,573,5.81,5,10.811,2,13,6,1,72,0.85,0.82,0.795,0.85,0.25,2.04,1.9,4.5951,4.29,2.051,3.0,3,2,1,0,3,801,3.0,1090.15,890.15,2.34,0.33,27.7,34.76,27.0,302,2.96
Ba4Ga4GeSe12,2.18,37.52380952380952,88.01571428571428,4.38095238095238,12.66666666666667,5.619047619047619,0.8095238095238095,70.42857142857142,1.373809523809524,1.338095238095238,1.779428571428571,1.373809523809524,0.7738095238095237,2.067142857142857,2.075714285714286,5.158142857142857,4.651428571428571,1.988095238095238,2.369523809523809,4.571428571428571,2.0,2.571428571428571,0.0,4.571428571428571,780.0952380952381,11.56666666666667,586.0357142857142,1569.435714285714,4.780952380952381,0.3074285714285714,8.125142857142855,113.6238095238095,15.25619047619047,236.4285714285714,2.486190476190476,25,67.604,2,14,5,1,80,1.0,0.8200000000000001,2.117,1.0,0.96,1.66,1.46,1.5938,3.49,1.553,2.0,4,0,4,0,4,438,35.90000000000001,917.5999999999999,2145.0,2.4,0.166,31.35,293.2,57.86,197,1.95,56,137.327,6,16,7,1,89,2.15,1.98,3.402,2.15,1.49,2.55,2.54,5.761,5.89,2.434,4.0,6,2,4,0,6,941,39.7,1220.55,3103.15,5.9,0.37,36.94,330.9,59.9,377,3.85,31,69.723,4,2,2,0,9,1.15,1.16,1.285,1.15,0.53,0.89,1.08,4.1672,2.4,0.881,2.0,2,2,0,0,2,503,3.8,302.95,958.15,3.5,0.204,5.59,37.7,2.04,180,1.9
CuBr,2.94,32.0,71.725,4.0,14.0,6.0,1.5,79.5,1.25,1.155,1.62,1.25,1.265,2.43,1.955,5.0358,6.035,2.2675,2.72,9.0,1.5,2.5,5.0,4.0,942.5,4.9,811.0500000000001,1586.05,6.040000000000001,0.4265,9.168,157.869,200.561,225.0,2.355,6,16.358,0,6,4,1,31,0.2000000000000002,0.03000000000000003,0.8400000000000001,0.2000000000000002,1.11,1.06,1.75,2.7442,3.109999999999999,0.835,5.44,4,1,5,10,6,395,3.6,1090.2,2508.2,5.840000000000001,0.09299999999999997,7.764000000000001,284.862,400.878,226,2.27,35,79.904,4,17,8,2,95,1.35,1.17,2.04,1.35,1.82,2.96,2.83,6.4079,7.59,2.685,5.44,11,2,5,10,7,1140,6.7,1356.15,2840.15,8.96,0.473,13.05,300.3,401.0,338,3.49,29,63.546,4,11,4,1,64,1.15,1.14,1.2,1.15,0.71,1.9,1.08,3.6637,4.48,1.85,0.0,7,1,0,0,1,745,3.1,265.95,331.95,3.12,0.38,5.286,15.438,0.122,112,1.22
HgSe,0.07,57.0,139.775,5.0,14.0,5.5,1.5,80.0,1.325,1.325,1.8475,1.325,0.6950000000000001,2.275,2.015,7.00395,5.4,2.097,3.22,9.0,2.0,2.0,5.0,4.0,974.0,4.6,362.2,794.15,9.145,0.2295,4.4945,48.4645,5.19,144.0,1.565,46,121.63,2,4,3,1,18,0.3500000000000001,0.3300000000000001,1.125,0.3500000000000001,0.2699999999999999,0.5499999999999998,1.05,2.4859,0.9799999999999995,0.6740000000000002,2.44,6,0,4,10,4,66,1.600000000000001,255.9,328.0,8.71,0.181,4.399,21.529,6.3,166,1.79,80,200.59,6,16,7,2,89,1.5,1.49,2.41,1.5,0.83,2.55,2.54,8.2469,5.89,2.434,4.44,12,2,4,10,6,1007,5.4,490.15,958.15,13.5,0.32,6.694,59.229,8.34,227,2.46,34,78.96,4,12,4,1,71,1.15,1.16,1.285,1.15,0.56,2.0,1.49,5.761,4.91,1.76,2.0,6,2,0,0,2,941,3.8,234.25,630.15,4.79,0.139,2.295,37.7,2.04,61,0.67
AgIn5Te8,0.47,50.57142857142857,121.6255857142857,5.0,14.57142857142857,5.5,0.9285714285714286,82.85714285714285,1.467857142857143,1.387142857142857,1.856071428571428,1.467857142857143,1.062142857142857,1.973571428571429,2.018571428571428,4.896792857142857,4.561428571428571,1.958142857142857,2.76,5.285714285714286,1.928571428571428,2.642857142857143,10.0,1.928571428571428,748.0714285714286,7.171428571428571,654.65,1739.607142857143,6.926428571428572,0.2132142857142857,11.96678571428571,130.6057142857143,61.12857142857143,219.6428571428572,2.362142857142857,5,19.73179999999999,0,5,2,1,25,0.2000000000000002,0.09999999999999987,0.7050000000000001,0.2000000000000002,0.3500000000000001,0.3200000000000001,1.31,1.5896,2.39,0.502,3.44,8,1,4,0,1,311,4.199999999999999,805.4000000000001,1222.2,4.26,0.03499999999999998,14.227,198.03,426.65,87,0.7600000000000002,52,127.6,5,16,6,1,90,1.6,1.44,2.375,1.6,1.29,2.1,2.38,5.4418,5.49,2.158,5.44,11,2,4,10,2,869,9.7,1235.15,2485.15,10.5,0.235,17.49,250.58,429.0,284,2.95,47,107.8682,5,11,4,0,65,1.4,1.34,1.67,1.4,0.94,1.78,1.07,3.8522,3.1,1.656,2.0,3,1,0,10,1,558,5.5,429.75,1262.95,6.24,0.2,3.263,52.55,2.35,197,2.19
Rb7Th2P6Se21,2.07,34.52777777777778,80.73203811111111,4.194444444444445,12.19444444444444,5.611111111111112,0.8611111111111112,67.41666666666667,1.394444444444444,1.365,2.030138888888889,1.394444444444444,0.7672222222222222,2.084166666666667,2.096111111111111,4.967016666666667,5.005277777777778,1.994277777777778,2.083333333333333,4.638888888888889,1.805555555555556,2.833333333333333,0.1111111111111111,4.638888888888889,828.5555555555557,13.79722222222222,511.8694444444445,1118.9,4.045,0.39225,5.335,66.63294444444445,15.54583333333333,233.6388888888889,2.516777777777778,75,201.064338,4,15,6,2,85,1.35,1.1,3.74,1.35,1.35,1.73,1.74,2.8826,3.55,1.728,3.0,5,1,4,2,5,609,43.7,1711.1,4510.0,10.17,0.65,15.443,502.271,57.965,490,5.348,90,232.0381,7,16,7,2,89,2.35,2.16,4.98,2.35,1.66,2.55,2.54,5.761,5.89,2.434,4.0,6,2,4,2,6,1012,47.3,2023.15,5063.15,11.7,0.77,16.1,514.4,58.2,576,6.2,15,30.973762,3,1,1,0,4,1.0,1.06,1.24,1.0,0.31,0.82,0.8,2.8784,2.34,0.706,1.0,1,1,0,0,1,403,3.6,312.05,553.15,1.53,0.12,0.657,12.129,0.235,86,0.852
TlS,1.37,48.5,118.22465,4.5,14.5,6.0,1.0,82.0,1.45,1.25,1.6675,1.45,0.73,2.1,2.17,5.2538,4.71,2.189,2.72,4.5,2.0,2.5,5.0,4.5,794.5,5.25,481.05,1224.0,6.985,0.42,2.92975,86.95,23.1845,230.5,2.365,65,172.3173,3,3,2,0,12,0.8999999999999999,0.46,1.135,0.8999999999999999,0.6000000000000001,0.96,0.96,1.183999999999999,3.02,0.8,1.44,3,0,3,10,3,411,4.699999999999999,190.2,1012.3,9.83,0.58,2.4245,154.3,45.831,97,0.9700000000000002,81,204.3833,6,16,7,1,88,1.9,1.48,2.235,1.9,1.03,2.58,2.65,5.8458,6.22,2.589,3.44,6,2,4,10,6,1000,7.6,576.15,1730.15,11.9,0.71,4.142,164.1,46.1,279,2.85,16,32.066,3,13,5,1,76,1.0,1.02,1.1,1.0,0.43,1.62,1.69,4.6618,3.2,1.789,2.0,3,2,1,0,3,589,2.9,385.95,717.8499999999999,2.07,0.13,1.7175,9.8,0.269,182,1.88
CdS,2.501,32.0,72.2385,4.0,14.0,5.5,0.5,79.0,1.275,1.25,1.6575,1.275,0.675,2.135,2.025,4.88225,5.275,2.0545,3.22,9.0,2.0,2.0,5.0,4.0,934.0,5.05,490.0,878.0,5.36,0.47,3.95475,54.685,48.5345,195.5,2.005,32,80.345,2,4,3,1,18,0.55,0.46,1.115,0.55,0.49,0.8900000000000001,1.25,1.9271,1.89,1.069,2.44,6,0,4,10,4,132,4.300000000000001,208.1,320.3000000000002,6.58,0.48,4.4745,89.77,96.53099999999999,167,1.69,48,112.411,5,16,7,1,88,1.55,1.48,2.215,1.55,0.92,2.58,2.65,5.8458,6.22,2.589,4.44,12,2,4,10,6,1000,7.2,594.05,1038.15,8.65,0.71,6.192,99.57,96.8,279,2.85,16,32.066,3,12,4,0,70,1.0,1.02,1.1,1.0,0.43,1.69,1.4,3.9187,4.33,1.52,2.0,6,2,0,0,2,868,2.9,385.95,717.8499999999999,2.07,0.23,1.7175,9.8,0.269,112,1.16
Al2Se3,3.1,25.6,58.1686156,3.6,14.8,6.2,1.0,82.6,1.19,1.168,1.441,1.19,0.548,2.174,2.18,4.86608,4.826,2.1056,2.4,4.8,2.0,2.8,0.0,4.8,795.8000000000001,5.6,667.3499999999999,1670.95,3.954,0.552,8.3324,139.98,96.02400000000002,266.6,2.832,21,51.978461,1,3,2,0,16,0.1000000000000001,0.02000000000000002,0.3900000000000001,0.1000000000000001,0.03000000000000003,0.9399999999999997,0.9000000000000001,2.2373,2.66,0.8210000000000002,1.0,3,0,3,0,3,363,4.500000000000001,443.0,1782.0,2.09,0.5800000000000001,4.095999999999999,255.7,234.96,99,0.9300000000000002,34,78.96,4,16,7,1,89,1.25,1.18,1.675,1.25,0.56,2.55,2.54,5.761,5.89,2.434,3.0,6,2,4,0,6,941,8.3,933.15,2740.15,4.79,0.9,10.79,293.4,237.0,326,3.39,13,26.981539,3,13,5,1,73,1.15,1.16,1.285,1.15,0.53,1.61,1.64,3.5237,3.23,1.613,2.0,3,2,1,0,3,578,3.8,490.15,958.15,2.7,0.32,6.694,37.7,2.04,227,2.46
In2GeTe3,0.68,47.66666666666666,114.1743333333333,4.833333333333333,14.66666666666667,5.666666666666666,1.0,83.16666666666666,1.425,1.363333333333333,1.778333333333333,1.425,0.9566666666666667,1.978333333333333,2.065,4.905566666666666,4.545,1.963333333333333,2.813333333333333,4.666666666666666,2.0,2.666666666666667,8.333333333333332,2.333333333333333,747.5,7.0,708.0,1933.05,6.443333333333333,0.23,15.98933333333333,158.5916666666667,38.35833333333333,242.3333333333333,2.576666666666666,20,54.98999999999999,1,3,1,0,15,0.3,0.22,0.4899999999999998,0.3,0.5800000000000001,0.3200000000000001,0.75,1.2081,2.39,0.502,2.0,3,0,3,10,2,311,4.199999999999999,790.8,1840.2,1.989999999999999,0.12,33.677,278.35,79.25,180,1.66,52,127.6,5,16,6,1,90,1.55,1.44,2.05,1.55,1.11,2.1,2.38,5.4418,5.49,2.158,4.0,6,2,4,10,4,869,9.7,1220.55,3103.15,7.31,0.32,36.94,330.9,81.6,377,3.85,32,72.61,4,13,5,1,75,1.25,1.22,1.56,1.25,0.53,1.78,1.63,4.2337,3.1,1.656,2.0,3,2,1,0,2,558,5.5,429.75,1262.95,5.32,0.2,3.263,52.55,2.35,197,2.19
BiSeBr,1.5,50.66666666666666,122.61479,4.666666666666666,16.0,6.666666666666666,1.0,90.0,1.3,1.253333333333333,1.494,1.3,1.183333333333333,2.51,2.503333333333333,5.6659,6.056666666666667,2.376333333333333,1.666666666666667,6.0,2.0,4.0,3.333333333333333,6.0,928.0,4.766666666666667,433.4166666666666,1041.083333333333,5.886666666666667,0.3043333333333333,7.759999999999999,52.646,3.343999999999999,182.0,1.953333333333333,49,130.02037,2,2,3,0,9,0.4500000000000002,0.3200000000000001,0.7970000000000002,0.4500000000000002,1.26,0.94,0.69,1.5791,2.899999999999999,0.6750000000000003,3.0,2,0,2,10,2,437,4.300000000000001,278.2,1501.2,6.63,0.353,6.014000000000001,89.362,7.748,115,1.24,83,208.98037,6,17,8,1,95,1.6,1.46,1.997,1.6,1.82,2.96,2.83,6.4079,7.59,2.685,3.0,7,2,5,10,7,1140,7.4,544.15,1833.15,9.75,0.473,11.3,104.8,7.87,227,2.46,34,78.96,4,15,5,1,86,1.15,1.14,1.2,1.15,0.56,2.02,2.14,4.8288,4.69,2.01,0.0,5,2,3,0,5,703,3.1,265.95,331.95,3.12,0.12,5.286,15.438,0.122,112,1.22
GaAs0.4P0.6,2.1,26.6,59.1379466,3.7,14.0,5.800000000000001,1.0,78.69999999999999,1.18,1.188,1.5025,1.18,0.617,1.998,2.0,4.60573,4.346,1.9961,3.22,4.0,2.0,2.0,0.0,4.0,782.5,5.99,464.68,1682.05,4.642,0.482,8.532100000000002,139.9407,30.3705,297.9,3.026,18,43.94782799999999,1,2,2,0,10,0.3,0.2,0.4550000000000001,0.3,0.45,0.3799999999999999,0.6199999999999999,1.004799999999999,2.42,0.4970000000000001,0.4399999999999999,2,0,2,0,2,433,4.5,787.2,2123.0,4.08,0.44,27.043,246.571,49.765,29,0.6200000000000001,33,74.92159,4,15,7,1,84,1.3,1.26,1.695,1.3,0.76,2.19,2.32,5.172,5.62,2.253,3.44,5,2,3,0,5,1012,8.1,1090.15,2676.15,5.9,0.77,27.7,258.7,50.0,315,3.43,15,30.973762,3,13,5,1,74,1.0,1.06,1.24,1.0,0.31,1.81,1.7,4.1672,3.2,1.756,3.0,3,2,1,0,3,579,3.6,302.95,553.15,1.82,0.33,0.657,12.129,0.235,286,2.81
K2AuPS4,2.63,24.5,54.30011275,3.625,11.5,5.125,0.875,63.375,1.34375,1.3175,1.96,1.34375,0.8224999999999999,2.08625,1.96375,5.237225,5.13875,1.999625,2.305,5.25,1.625,2.375,1.25,4.0,842.5,13.5125,483.875,1105.5,3.89,0.6547499999999999,3.093125,68.183625,65.388875,247.125,2.5635,64,165.992778,3,15,6,2,85,1.2,1.01,2.59,1.2,1.21,1.76,1.85,5.1909,3.8,1.855,4.44,10,1,4,10,5,593,40.5,1019.9,2800.0,18.44,0.642,11.893,324.6,316.765,276,2.876,79,196.96654,6,16,7,2,88,2.2,2.03,3.69,2.2,1.52,2.58,2.65,7.9791,6.22,2.589,5.44,11,2,4,10,6,1012,43.4,1337.15,3353.15,19.3,0.77,12.55,334.4,317.0,366,3.81,15,30.973762,3,1,1,0,3,1.0,1.02,1.1,1.0,0.31,0.82,0.8,2.7882,2.42,0.734,1.0,1,1,0,0,1,419,2.9,317.25,553.15,0.86,0.128,0.657,9.8,0.235,90,0.934
CsH3Se2O6,4.77,14.5,32.4871375,2.416666666666667,11.0,6.5,0.6666666666666666,81.75,0.7708333333333333,0.8466666666666667,1.118333333333333,0.7708333333333333,0.8741666666666666,2.760833333333333,2.6725,7.3093,6.728333333333333,2.840583333333333,0.4166666666666666,4.333333333333333,1.666666666666667,2.666666666666667,0.0,4.333333333333333,1173.166666666667,6.1715,137.7083333333333,288.3416666666666,0.9548991416666667,4.109333333333334,1.415965,13.74562333333333,5.315411666666666,223.4166666666667,1.787,54,131.89749,5,15,6,1,87,2.35,1.98,3.845,2.35,1.71,2.65,2.55,3.9377,5.359999999999999,2.951,2.0,5,1,4,0,5,938,58.9,476.1,937.9,4.7899301,14.064,6.63532,67.29064,58.97326,170,2.62,55,132.90543,6,16,7,1,92,2.6,2.35,4.31,2.6,1.81,3.44,3.32,8.3703,7.54,3.61,2.0,6,2,4,0,6,1314,59.6,490.15,958.15,4.79,14.304,6.694,67.74,59.0,249,2.62,1,1.00794,1,1,1,0,5,0.25,0.37,0.465,0.25,0.1,0.79,0.77,4.4326,2.18,0.659,0.0,1,1,0,0,1,376,0.7,14.04999999999995,20.24999999999997,6.99e-05,0.24,0.05868,0.44936,0.02674,79,0.0
CsB3GeO7,5.76,13.16666666666667,29.16201916666667,2.5,13.83333333333333,6.166666666666667,0.9166666666666667,75.75,0.8833333333333333,0.9283333333333332,0.9591666666666667,0.8833333333333333,0.9633333333333334,2.75,2.641666666666667,6.787550000000001,6.035833333333334,2.839666666666667,1.166666666666667,4.666666666666667,1.916666666666667,2.75,0.0,4.666666666666667,1061.583333333333,6.687583333333333,746.8166666666667,1095.483333333333,1.185000833333333,0.8383333333333334,15.93251083333333,157.6341083333333,16.67393166666666,326.5,3.368666666666667,50,122.09443,4,15,6,1,82,2.0,1.62,3.845,2.0,1.56,2.65,2.55,3.9377,5.359999999999999,2.951,4.0,5,1,4,0,5,938,58.807,2297.4,3013.0,5.31857,0.78,49.97741000000001,486.2901,59.87326,494,5.005999999999999,55,132.90543,6,16,7,1,87,2.6,2.35,4.31,2.6,1.81,3.44,3.32,8.3703,7.54,3.61,4.0,6,2,4,0,6,1314,59.6,2352.15,3103.15,5.32,1.02,50.2,489.7,59.9,573,5.81,5,10.811,2,1,1,0,5,0.6,0.73,0.465,0.6,0.25,0.79,0.77,4.4326,2.18,0.659,0.0,1,1,0,0,1,376,0.793,54.74999999999997,90.14999999999998,0.00143,0.24,0.22259,3.4099,0.02674,79,0.804
Pb0.97Sn0.03Te,0.3,66.52,166.07265,5.485,15.0,5.5,1.0,85.485,1.59475,1.4141,1.87685,1.59475,1.288,1.9524,2.1494,5.088883,4.701000000000001,2.00555,2.2434,5.0,2.0,3.0,10.0,2.97,792.395,6.1635,660.2175,1646.0,8.75865,0.166455,11.17795,116.8965,19.2945,198.09,2.12665,32,88.49,1,2,1,0,10,0.4000000000000001,0.1099999999999999,0.4199999999999999,0.4000000000000001,0.8,0.3,0.5,0.8491999999999997,1.59,0.3339999999999999,2.0,2,0,2,0,2,160,2.2,217.5,1280.2,5.16,0.097,12.691,243.25,64.25,106,1.11,82,207.2,6,16,6,1,90,1.8,1.47,2.09,1.8,1.49,2.1,2.38,5.4418,5.49,2.158,4.0,6,2,4,10,4,869,7.7,722.65,2543.15,11.4,0.227,17.49,295.8,66.6,302,3.14,50,118.71,5,14,5,1,80,1.4,1.36,1.67,1.4,0.69,1.8,1.88,4.5926,3.9,1.824,2.0,4,2,2,10,2,709,5.5,505.15,1262.95,6.24,0.13,4.799,52.55,2.35,196,2.03
PtAs2,0.55,48.0,114.9743933333333,4.666666666666666,13.33333333333333,5.333333333333333,1.333333333333333,77.0,1.216666666666667,1.233333333333333,1.843333333333333,1.216666666666667,0.7266666666666666,2.213333333333333,2.15,6.021599999999999,5.399999999999999,2.047333333333333,3.926666666666667,6.666666666666666,1.666666666666667,2.0,3.0,3.666666666666667,920.6666666666665,5.033333333333333,1408.483333333333,1960.15,10.95333333333333,0.2633333333333333,25.0,193.1733333333333,57.19999999999999,389.6666666666666,3.92,45,120.15841,2,5,2,1,21,0.2000000000000002,0.1000000000000001,1.285,0.2000000000000002,0.02000000000000002,0.09999999999999964,0.3600000000000001,2.5488,0.2999999999999998,0.4909999999999999,2.78,5,1,3,9,4,79,2.2,955.0,3210.0,15.67,0.2,8.099999999999998,475.24,21.59999999999999,263,2.88,78,195.08,6,15,6,2,84,1.35,1.3,2.7,1.35,0.74,2.28,2.27,7.7208,5.6,2.211,5.78,10,2,3,9,5,947,6.5,2045.15,4100.15,21.4,0.33,27.7,510.0,71.6,565,5.84,33,74.92159,4,10,4,1,63,1.15,1.2,1.415,1.15,0.72,2.18,1.91,5.172,5.3,1.72,3.0,5,1,0,0,1,868,4.3,1090.15,890.15,5.73,0.13,19.6,34.76,50.0,302,2.96
